plan,megye,valasztopolgar,target_votes,opponent_votes,target_pct,opponent_pct,target_margin_pct,target_wins,polsby_popper,pop_deviation_pct,bp_keruletek
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,67452.0,25073.0,19627.0,56.092,43.908,12.183,True,0.2458,-4.462,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,70943.0,23929.0,23864.0,50.068,49.932,0.136,True,0.1852,0.482,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,72237.0,21019.0,28822.0,42.172,57.828,-15.656,False,0.1877,2.315,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,71369.0,24967.0,24926.0,50.041,49.959,0.082,True,0.2498,1.086,
szimulalt_recom,SZABOLCS-SZATMÁR-BEREG,72471.0,18137.0,36799.0,33.015,66.985,-33.97,False,0.3104,2.647,
szimulalt_recom,TOLNA,56046.0,19014.0,21216.0,47.263,52.737,-5.474,False,0.201,-1.187,
szimulalt_recom,TOLNA,57442.0,19368.0,19307.0,50.079,49.921,0.158,True,0.2853,1.274,
szimulalt_recom,TOLNA,56670.0,17511.0,22961.0,43.267,56.733,-13.466,False,0.2223,-0.087,
szimulalt_recom,VAS,64175.0,19637.0,30373.0,39.266,60.734,-21.468,False,0.3017,-3.278,
szimulalt_recom,VAS,69487.0,26137.0,26023.0,50.109,49.891,0.219,True,0.2795,4.728,
szimulalt_recom,VAS,65387.0,25771.0,24385.0,51.382,48.618,2.763,True,0.1108,-1.451,
szimulalt_recom,VESZPRÉM,68709.0,19147.0,32016.0,37.424,62.576,-25.153,False,0.3689,0.165,
szimulalt_recom,VESZPRÉM,67694.0,23386.0,24608.0,48.727,51.273,-2.546,False,0.229,-1.315,
szimulalt_recom,VESZPRÉM,69578.0,21172.0,30131.0,41.269,58.731,-17.463,False,0.4385,1.432,
szimulalt_recom,VESZPRÉM,68403.0,18476.0,33533.0,35.525,64.475,-28.951,False,0.3611,-0.281,
szimulalt_recom,ZALA,67423.0,23961.0,23866.0,50.099,49.901,0.199,True,0.184,-5.971,
szimulalt_recom,ZALA,75578.0,22102.0,34207.0,39.251,60.749,-21.497,False,0.1521,5.402,
szimulalt_recom,ZALA,72112.0,23492.0,31495.0,42.723,57.277,-14.554,False,0.2983,0.569,
