cache_key,latitude,longitude,talalat
Budapest IV|004|Budapest|1047|Lőrinc utca 35-37. (Újpesti Bölcsődék Központja),47.5640991,19.0886773,"structured: {'street': 'Lőrinc utca 35-37', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1047'}"
Budapest IV|004|Budapest|1041|Lőrinc utca 35-37. (Újpesti Bölcsődék Központja),47.5640991,19.0886773,"structured: {'street': 'Lőrinc utca 35-37', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1041'}"
Budapest IV|004|Budapest|1042|Lőrinc utca 35-37. (Pécsi Ének-Zene Ált. Isk.),47.5640991,19.0886773,"structured: {'street': 'Lőrinc utca 35-37', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1042'}"
Budapest IV|004|Budapest|1043|Lőrinc utca 35-37. (Pécsi Ének-Zene Ált. Isk.),47.5640991,19.0886773,"structured: {'street': 'Lőrinc utca 35-37', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1043'}"
Budapest IV|004|Budapest|1041|Erzsébet utca 69. (Károlyi Gimn. és Ált. Isk.),47.5622532,19.096129,"structured: {'street': 'Erzsébet utca 69', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1041'}"
Budapest IV|004|Budapest|1043|Munkásotthon utca 3. (Bene Ferenc Általános Isk.),47.5585182,19.0871107,"structured: {'street': 'Munkásotthon utca 3', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1043'}"
Budapest IV|004|Budapest|1043|Pozsonyi utca 3. (Halassy Olivér Általános Iskola),47.5551857,19.0870619,"structured: {'street': 'Pozsonyi utca 3', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1043'}"
Budapest IV|004|Budapest|1045|Pozsonyi utca 3. (Halassy Olivér Általános Iskola),47.5551857,19.0870619,"structured: {'street': 'Pozsonyi utca 3', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1045'}"
Budapest IV|004|Budapest|1041|Erzsébet utca 31. (Lázár Ervin Általános Isk.),47.5578898,19.0948999,"structured: {'street': 'Erzsébet utca 31', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1041'}"
Budapest IV|004|Budapest|1043|Erzsébet utca 31. (Lázár Ervin Általános Isk.),47.5578898,19.0948999,"structured: {'street': 'Erzsébet utca 31', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1043'}"
Budapest IV|004|Budapest|1045|Erzsébet utca 31. (Lázár Ervin Általános Isk.),47.5577223,19.0948096,"structured: {'street': 'Erzsébet utca 31', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1045'}"
Budapest IV|004|Budapest|1042|Viola utca 11-13. (Viola Óvoda),47.5595644,19.1027953,"structured: {'street': 'Viola utca 11-13', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1042'}"
Budapest IV|004|Budapest|1045|Viola utca 11-13. (Viola Óvoda),47.5595644,19.1027953,"structured: {'street': 'Viola utca 11-13', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1045'}"
Budapest V|005|Budapest|1056|Váci u. 43. (Ének-zenei Általános Iskola),47.4911461,19.0539959,"structured: {'street': 'Váci utca 43', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1056'}"
Budapest V|005|Budapest|1056|Veres Pálné u. 38. (Veres Pálné Gimnázium),47.4890298,19.0583907,"structured: {'street': 'Veres Pálné utca 38', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1056'}"
Budapest V|005|Budapest|1053|Váci u. 43. (Ének-zenei Általános Iskola),47.4911461,19.0539959,"structured: {'street': 'Váci utca 43', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1053'}"
Budapest V|005|Budapest|1052|Vármegye u. 9. (Szabolcsi Bence Zeneiskola),47.4942786,19.0571643,"structured: {'street': 'Vármegye utca 9', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1052'}"
Budapest V|005|Budapest|1052|Erzsébet tér 4. (Polgármesteri Hivatal),47.4980892,19.0513437,"structured: {'street': 'Erzsébet tér 4', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1052'}"
Budapest V|005|Budapest|1054|Nádor u. 12. (Hild József Általános Iskola),47.5005957,19.0489715,"structured: {'street': 'Nádor utca 12', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1054'}"
Budapest V|005|Budapest|1054|Arany János u. 10. (Aranytíz Kultúrház),47.5020779,19.048138,"structured: {'street': 'Arany János utca 10', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1054'}"
Budapest V|005|Budapest|1051|Vadász u. 11-13. (Idősek Klubja),47.5039516,19.0541015,"structured: {'street': 'Vadász utca 11-13', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1051'}"
Budapest V|005|Budapest|1054|Vadász u. 11-13. (Idősek Klubja),47.5039516,19.0541015,"structured: {'street': 'Vadász utca 11-13', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1054'}"
Budapest V|005|Budapest|1054|Balassi Bálint u. 9-11. (Idősek Klubja),47.5101783,19.0471228,"structured: {'street': 'Balassi Bálint utca 9-11', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1054'}"
Budapest V|005|Budapest|1055|Balassi Bálint u. 9-11. (Idősek Klubja),47.5101783,19.0471228,"structured: {'street': 'Balassi Bálint utca 9-11', 'city': 'Budapest', 'country': 'Hungary', 'postalcode': '1055'}"
