telepules,valasztopolgar,megjelent,ervenyes,fidesz_szavazat,tisza_szavazat
Érpatak,1293,930,925,463,408
Érsekcsanád,2197,1599,1589,695,712
Érsekhalma,442,331,327,109,184
Érsekvadkert,2714,2091,2081,966,930
Értény,506,329,328,271,44
Óbarok,712,539,532,195,284
Óbudavár,43,37,36,11,19
Óbánya,85,72,71,23,26
Ócsa,7678,6163,6143,2661,3015
Ócsárd,288,221,219,93,103
Ófalu,259,209,205,72,60
Ófehértó,1986,1341,1311,728,476
Óföldeák,380,280,280,127,122
Óhíd,420,324,321,115,179
Ólmod,80,62,61,34,21
Ónod,1685,1105,1093,403,574
Ópusztaszer,1475,1080,1074,398,558
Ópályi,2075,1357,1340,762,490
Ózd,26193,17526,17380,6685,8996
Ózdfalu,110,84,82,37,44
Öcs,163,119,119,56,50
Öcsöd,2258,1496,1476,703,596
Ököritófülpös,1243,826,816,521,249
Ölbő,532,434,431,220,183
Ömböly,345,200,199,112,78
Öregcsertő,566,416,414,153,210
Öreglak,1070,751,724,353,295
Örkény,3691,2461,2448,1102,1119
Örményes,779,617,609,215,338
Örménykút,240,187,182,96,71
Örvényes,137,123,123,54,51
Öskü,1759,1432,1428,529,762
Öttevény,2337,1987,1967,791,1009
Öttömös,523,399,399,159,195
Ötvöskónyi,600,424,412,241,144
Újbarok,398,326,325,123,138
Újcsanálos,576,415,415,196,188
Újdombrád,480,376,376,167,170
Újfehértó,9601,7513,7492,3050,3958
Újhartyán,2287,1965,1952,735,901
Újireg,190,148,148,64,77
Újiráz,358,265,263,129,117
Újkenéz,702,467,458,267,165
Újkér,759,637,636,350,222
Újkígyós,3901,3020,2994,1203,1515
Újlengyel,1468,1218,1183,548,524
Újléta,795,501,488,248,219
Újlőrincfalva,172,127,127,55,61
Újpetre,762,578,569,180,310
Újrónafő,629,493,491,204,237
Újsolt,136,110,109,34,53
Újszalonta,75,50,50,26,17
Újszentiván,1574,1291,1281,396,780
Újszentmargita,1066,681,678,350,269
Újszilvás,2105,1560,1552,767,656
Újszász,4694,3462,3432,1440,1670
Újtelek,269,225,224,121,90
Újtikos,650,488,487,199,236
Újudvar,767,595,593,221,324
Újvárfalva,160,109,108,77,30
Úny,575,464,462,196,228
Úrhida,2140,1855,1846,580,1076
Úri,2015,1627,1614,660,788
Úrkút,1564,1247,1240,412,609
Üllés,2499,1900,1894,727,982
Üllő,9922,8118,8101,2816,4598
Üröm,6306,5534,5518,1545,3515
Őcsény,1822,1392,1383,550,700
Őr,1122,783,775,390,319
Őrbottyán,6411,5389,5362,1892,3030
Őrhalom,817,626,619,239,295
Őrimagyarósd,159,127,127,72,47
Őriszentpéter,852,709,704,293,345
Őrtilos,350,275,274,140,110
Ősagárd,253,237,235,94,105
Ősi,1566,1258,1248,505,630
